Day	Weather	Holiday	FoodItem	QuantitySold
Thursday	Sunny	No	Dosa	189
Saturday	Sunny	No	Pani Puri	67
Friday	Rainy	Yes	Biryani	157
Thursday	Rainy	Yes	Samosa	116
Sunday	Rainy	Yes	Mysore Bonda	126
Sunday	Cloudy	No	Biryani	128
Tuesday	Rainy	Yes	Mysore Bonda	144
Saturday	Rainy	Yes	Mirchi Bhajji	142
Friday	Cloudy	No	Mirchi Bhajji	258
Friday	Rainy	No	Pesarattu	153
Wednesday	Rainy	No	Mysore Bonda	70
Sunday	Rainy	No	Pani Puri	124
Wednesday	Cloudy	No	Biryani	133
Saturday	Sunny	Yes	Pesarattu	233
Wednesday	Sunny	Yes	Pani Puri	137
Thursday	Rainy	Yes	Mysore Bonda	192
Wednesday	Cloudy	No	Mysore Bonda	106
Saturday	Cloudy	Yes	Idli	299
Thursday	Sunny	Yes	Punukulu	37
Sunday	Sunny	Yes	Biryani	231
Tuesday	Rainy	Yes	Samosa	97
Monday	Sunny	No	Pani Puri	50
Friday	Rainy	No	Mysore Bonda	28
Monday	Rainy	No	Biryani	28
Friday	Rainy	No	Punukulu	166
Monday	Rainy	No	Idli	74
Monday	Rainy	Yes	Dosa	118
Friday	Rainy	No	Pani Puri	156
Sunday	Cloudy	Yes	Pani Puri	227
Thursday	Rainy	Yes	Dosa	173
Saturday	Sunny	Yes	Samosa	227
Thursday	Cloudy	No	Biryani	24
Saturday	Sunny	Yes	Mysore Bonda	242
Saturday	Cloudy	Yes	Punukulu	41
Tuesday	Sunny	No	Pesarattu	43
Monday	Rainy	No	Punukulu	36
Tuesday	Cloudy	Yes	Dosa	93
Sunday	Rainy	No	Samosa	173
Tuesday	Rainy	Yes	Mirchi Bhajji	296
Wednesday	Cloudy	Yes	Samosa	276
Saturday	Cloudy	Yes	Samosa	243
Tuesday	Sunny	No	Mirchi Bhajji	187
Monday	Rainy	No	Mysore Bonda	271
Tuesday	Cloudy	No	Mirchi Bhajji	115
Saturday	Rainy	No	Samosa	171
Sunday	Sunny	Yes	Samosa	157
Tuesday	Cloudy	Yes	Mirchi Bhajji	182
Wednesday	Sunny	Yes	Biryani	177
Thursday	Cloudy	No	Samosa	87
Monday	Sunny	No	Mysore Bonda	282
Thursday	Sunny	Yes	Samosa	201
Friday	Sunny	No	Mirchi Bhajji	26
Wednesday	Cloudy	No	Samosa	144
Friday	Rainy	Yes	Mirchi Bhajji	106
Tuesday	Cloudy	No	Pesarattu	272
Tuesday	Sunny	Yes	Mirchi Bhajji	161
Thursday	Cloudy	No	Samosa	204
Wednesday	Sunny	No	Dosa	254
Monday	Sunny	No	Biryani	222
Wednesday	Rainy	No	Pani Puri	245
Wednesday	Cloudy	Yes	Pesarattu	184
Friday	Rainy	Yes	Mysore Bonda	180
Tuesday	Cloudy	No	Pesarattu	271
Friday	Sunny	No	Mirchi Bhajji	163
Sunday	Cloudy	No	Samosa	122
Friday	Rainy	Yes	Punukulu	33
Saturday	Cloudy	Yes	Mysore Bonda	169
Sunday	Rainy	Yes	Mirchi Bhajji	275
Tuesday	Rainy	No	Dosa	149
Saturday	Sunny	No	Mirchi Bhajji	57
Thursday	Rainy	No	Mirchi Bhajji	293
Friday	Rainy	No	Punukulu	38
Sunday	Cloudy	Yes	Samosa	147
Saturday	Rainy	No	Idli	42
Friday	Rainy	No	Pani Puri	240
Monday	Sunny	Yes	Pesarattu	133
Friday	Rainy	Yes	Mysore Bonda	211
Thursday	Cloudy	Yes	Pani Puri	32
Thursday	Sunny	No	Mirchi Bhajji	63
Monday	Rainy	Yes	Pani Puri	179
Wednesday	Cloudy	Yes	Punukulu	267
Wednesday	Cloudy	Yes	Mysore Bonda	251
Wednesday	Sunny	No	Biryani	78
Monday	Cloudy	Yes	Idli	144
Friday	Sunny	Yes	Pani Puri	238
Thursday	Sunny	No	Idli	115
Saturday	Rainy	No	Mirchi Bhajji	34
Saturday	Rainy	Yes	Mysore Bonda	239
Thursday	Sunny	Yes	Dosa	162
Sunday	Rainy	Yes	Samosa	294
Tuesday	Cloudy	No	Dosa	254
Monday	Cloudy	No	Punukulu	180
Friday	Cloudy	No	Samosa	198
Wednesday	Cloudy	Yes	Pesarattu	63
Saturday	Sunny	No	Samosa	142
Wednesday	Sunny	Yes	Pani Puri	92
Friday	Cloudy	No	Idli	216
Thursday	Sunny	No	Punukulu	108
Friday	Sunny	No	Pesarattu	91
Tuesday	Cloudy	No	Biryani	203
Monday	Cloudy	Yes	Dosa	216
Friday	Rainy	No	Mirchi Bhajji	271
Thursday	Rainy	No	Mysore Bonda	105
Monday	Rainy	Yes	Dosa	169
Monday	Cloudy	Yes	Punukulu	167
Tuesday	Cloudy	No	Punukulu	281
Monday	Rainy	Yes	Pesarattu	298
Sunday	Cloudy	Yes	Mysore Bonda	299
Tuesday	Cloudy	Yes	Dosa	172
Sunday	Sunny	No	Pesarattu	198
Sunday	Sunny	No	Samosa	141
Tuesday	Rainy	No	Mirchi Bhajji	104
Friday	Sunny	Yes	Dosa	50
Friday	Cloudy	No	Punukulu	106
Wednesday	Rainy	No	Pesarattu	156
Sunday	Rainy	Yes	Idli	230
Monday	Cloudy	Yes	Idli	147
Tuesday	Rainy	No	Dosa	221
Thursday	Sunny	No	Mirchi Bhajji	212
Thursday	Sunny	Yes	Mirchi Bhajji	283
Saturday	Cloudy	No	Mysore Bonda	269
Wednesday	Rainy	Yes	Samosa	254
Saturday	Rainy	No	Samosa	293
Thursday	Sunny	No	Dosa	273
Wednesday	Cloudy	No	Pani Puri	300
Friday	Sunny	No	Pani Puri	44
Monday	Sunny	No	Biryani	83
Sunday	Sunny	No	Mysore Bonda	20
Thursday	Sunny	Yes	Pesarattu	101
Sunday	Cloudy	Yes	Pani Puri	148
Monday	Cloudy	Yes	Biryani	222
Saturday	Cloudy	Yes	Mirchi Bhajji	66
Saturday	Sunny	Yes	Dosa	264
Monday	Sunny	Yes	Punukulu	247
Monday	Sunny	No	Samosa	236
Saturday	Sunny	No	Samosa	137
Thursday	Sunny	Yes	Samosa	180
Wednesday	Cloudy	Yes	Mirchi Bhajji	88
Saturday	Rainy	Yes	Samosa	291
Friday	Sunny	Yes	Mysore Bonda	199
Saturday	Sunny	Yes	Mirchi Bhajji	246
Sunday	Sunny	Yes	Samosa	91
Sunday	Sunny	No	Pani Puri	239
Wednesday	Sunny	Yes	Pesarattu	63
Tuesday	Rainy	No	Biryani	174
Tuesday	Rainy	Yes	Mirchi Bhajji	171
Saturday	Sunny	Yes	Mysore Bonda	217
Monday	Sunny	No	Samosa	290
Monday	Cloudy	No	Idli	218
Sunday	Rainy	No	Pani Puri	299
Saturday	Sunny	No	Samosa	28
Friday	Sunny	Yes	Pesarattu	130
Monday	Sunny	No	Punukulu	166
Saturday	Rainy	No	Mirchi Bhajji	225
Monday	Rainy	Yes	Pesarattu	62
Wednesday	Sunny	Yes	Idli	294
Wednesday	Cloudy	Yes	Pesarattu	243
Saturday	Sunny	Yes	Dosa	64
Thursday	Sunny	No	Biryani	178
Saturday	Rainy	Yes	Samosa	26
Saturday	Sunny	Yes	Idli	274
Wednesday	Rainy	No	Idli	210
Tuesday	Rainy	No	Samosa	35
Wednesday	Cloudy	No	Punukulu	52
Wednesday	Rainy	Yes	Mysore Bonda	253
Friday	Cloudy	Yes	Mysore Bonda	105
Wednesday	Sunny	No	Samosa	79
Tuesday	Rainy	Yes	Biryani	26
Tuesday	Sunny	No	Pani Puri	216
Tuesday	Sunny	Yes	Punukulu	234
Tuesday	Cloudy	Yes	Mirchi Bhajji	183
Wednesday	Sunny	No	Samosa	277
Saturday	Sunny	Yes	Dosa	284
Monday	Cloudy	Yes	Mysore Bonda	164
Sunday	Cloudy	No	Samosa	253
Monday	Cloudy	Yes	Pesarattu	175
Saturday	Rainy	Yes	Mysore Bonda	208
Friday	Cloudy	Yes	Punukulu	145
Tuesday	Sunny	No	Biryani	139
Friday	Cloudy	Yes	Pani Puri	20
Sunday	Rainy	No	Pesarattu	73
Tuesday	Rainy	Yes	Mirchi Bhajji	271
Monday	Sunny	No	Samosa	42
Tuesday	Rainy	No	Pani Puri	254
Saturday	Sunny	Yes	Punukulu	88
Saturday	Cloudy	Yes	Biryani	242
Saturday	Sunny	Yes	Pesarattu	153
Sunday	Cloudy	No	Pani Puri	182
Thursday	Cloudy	Yes	Samosa	123
Tuesday	Rainy	Yes	Idli	74
Tuesday	Cloudy	No	Pani Puri	228
Monday	Rainy	No	Dosa	251
Wednesday	Cloudy	No	Samosa	66
Tuesday	Rainy	No	Biryani	130
Sunday	Cloudy	Yes	Samosa	147
Wednesday	Cloudy	Yes	Pesarattu	153
Sunday	Sunny	Yes	Mirchi Bhajji	251
Friday	Rainy	Yes	Samosa	256
Monday	Sunny	Yes	Biryani	51
Sunday	Sunny	Yes	Dosa	225
Wednesday	Rainy	Yes	Pesarattu	58
Monday	Sunny	Yes	Mysore Bonda	85
Monday	Cloudy	Yes	Biryani	256
Monday	Sunny	No	Mirchi Bhajji	274
Monday	Cloudy	No	Idli	201
Tuesday	Sunny	No	Pesarattu	248
Tuesday	Sunny	Yes	Pesarattu	275
Thursday	Rainy	No	Biryani	64
Wednesday	Cloudy	Yes	Mirchi Bhajji	122
Saturday	Rainy	Yes	Punukulu	29
Thursday	Rainy	No	Mysore Bonda	298
Sunday	Cloudy	No	Punukulu	184
Thursday	Cloudy	Yes	Biryani	183
Friday	Sunny	Yes	Pesarattu	49
Sunday	Cloudy	No	Dosa	101
Monday	Sunny	Yes	Pesarattu	293
Sunday	Rainy	Yes	Dosa	218
Wednesday	Sunny	Yes	Dosa	182
Sunday	Rainy	No	Biryani	200
Friday	Rainy	Yes	Dosa	272
